elo,A_Nc3,C_bw100_Nc3,A_d3,C_bw100_d3,A_Ng5,C_bw100_Ng5,A_O-O,C_bw100_O-O
1375.0,0.02787667060271313,0.029389311575722072,0.03418422184591424,0.032331033130180487,0.02787667060271312,0.02938931157572208,0.013065406668866875,0.014341517632988911
1380.0,0.02787667060271313,0.029470929702211636,0.03418422184591424,0.03222115621647114,0.027876670602713108,0.029470929702211643,0.013065406668866877,0.014451281428840107
1385.0,0.027876670602713108,0.02955751761028512,0.03418422184591424,0.03210800030933253,0.027876670602713118,0.029557517610285126,0.013065406668866877,0.014563247021180097
1390.0,0.02787667060271312,0.029648683781124452,0.03418422184591425,0.03199220027335194,0.027876670602713118,0.02964868378112446,0.013065406668866875,0.014677365104251517
1395.0,0.027876670602713118,0.02974403691149971,0.03418422184591424,0.03187442051888656,0.027876670602713108,0.029744036911499714,0.013065406668866878,0.014793573689736864
1400.0,0.027876670602713118,0.029843194216227005,0.03418422184591424,0.03175534439604137,0.027876670602713115,0.02984319421622701,0.013065406668866877,0.014911806908823922
1405.0,0.031459804969473995,0.02994579046187741,0.029388041190721925,0.03163566259467889,0.03145980496947401,0.029945790461877415,0.016558485305938096,0.015032004515524593
1410.0,0.031459804969474,0.030051487388443533,0.029388041190721918,0.03151606102658232,0.03145980496947401,0.030051487388443536,0.016558485305938085,0.015154121758812754
1415.0,0.031459804969473995,0.030159983142533354,0.029388041190721918,0.03139720870435049,0.031459804969474,0.03015998314253336,0.016558485305938085,0.01527813926489095
1420.0,0.031459804969473995,0.030271021338655286,0.029388041190721918,0.0312797461327881,0.031459804969474,0.03027102133865529,0.016558485305938092,0.015404072566976528
1425.0,0.03145980496947401,0.030384399384162673,0.029388041190721918,0.031164274692485595,0.031459804969474016,0.030384399384162684,0.01655848530593809,0.015531980938343138
1430.0,0.03145980496947399,0.03049997574548138,0.029388041190721918,0.031051347425966224,0.031459804969474,0.030499975745481387,0.01655848530593809,0.015661975222370724
1435.0,0.03145980496947399,0.030617675892996406,0.029388041190721925,0.030941461541597562,0.031459804969473995,0.03061767589299641,0.01655848530593809,0.015794224406319734
1440.0,0.031459804969474,0.030737496732455422,0.029388041190721918,0.030835052839111848,0.03145980496947401,0.03073749673245543,0.016558485305938092,0.015928960747297792
1445.0,0.031459804969474,0.03085950940435882,0.029388041190721925,0.030732492143693606,0.03145980496947399,0.030859509404358828,0.01655848530593809,0.016066483322720322
1450.0,0.03145980496947399,0.030983860402314958,0.029388041190721928,0.03063408372339407,0.031459804969473995,0.030983860402314965,0.016558485305938085,0.016207159937116418
1455.0,0.03145980496947401,0.031110771020739322,0.029388041190721914,0.03054006556574669,0.031459804969474,0.03111077102073933,0.016558485305938092,0.016351427367154173
1460.0,0.03145980496947399,0.031240535187387394,0.029388041190721914,0.030450611310122302,0.031459804969473995,0.031240535187387397,0.01655848530593809,0.016499789963674353
1465.0,0.031459804969474,0.03137351576496639,0.029388041190721918,0.030365833576055237,0.031459804969473995,0.0313735157649664,0.01655848530593809,0.01665281665168182
1470.0,0.03145980496947399,0.03151013941850968,0.029388041190721918,0.03028578839528164,0.031459804969473995,0.03151013941850968,0.01655848530593809,0.01681113637693875
1475.0,0.03145980496947401,0.03165089014320931,0.029388041190721918,0.030210480445049058,0.03145980496947401,0.03165089014320932,0.01655848530593809,0.01697543204304631
1480.0,0.03145980496947401,0.03179630153432413,0.029388041190721918,0.030139868789186182,0.03145980496947399,0.03179630153432414,0.01655848530593809,0.017146432969077648
1485.0,0.03145980496947399,0.03194694786092633,0.02938804119072191,0.03007387285726063,0.03145980496947401,0.031946947860926334,0.016558485305938092,0.01732490587928079
1490.0,0.031459804969474,0.032103433983443945,0.029388041190721925,0.030012378426342207,0.031459804969474,0.03210343398344395,0.016558485305938092,0.017511644417998098
1495.0,0.03145980496947401,0.032266384136127875,0.029388041190721914,0.029955243410044022,0.031459804969474,0.03226638413612789,0.01655848530593809,0.01770745716981042
1500.0,0.03145980496947401,0.03243642958441019,0.029388041190721914,0.029902303301803334,0.031459804969474,0.032436429584410204,0.016558485305938092,0.017913154161915124
1505.0,0.031459804969474,0.0326141951678013,0.029388041190721914,0.02985337616072605,0.03145980496947401,0.03261419516780131,0.016558485305938092,0.018129531837341846
1510.0,0.031459804969474,0.03280028475491874,0.029388041190721918,0.02980826706653515,0.031459804969474,0.032800284754918745,0.01655848530593809,0.018357356517525056
1515.0,0.031459804969473995,0.03299526567088976,0.02938804119072191,0.02976677200382427,0.031459804969474,0.03299526567088977,0.01655848530593809,0.018597346423687853
1520.0,0.031459804969474,0.03319965220992842,0.029388041190721928,0.029728681164211665,0.031459804969474,0.03319965220992843,0.016558485305938085,0.01885015239977836
1525.0,0.03145980496947401,0.033413888417057974,0.029388041190721925,0.02969378167795617,0.031459804969474,0.03341388841705798,0.016558485305938085,0.01911633757492268
1530.0,0.031459804969474016,0.03363833041062978,0.029388041190721925,0.02966185980436941,0.031459804969473995,0.033638330410629795,0.01655848530593809,0.01939635631794054
1535.0,0.031459804969474,0.033873228617310056,0.029388041190721928,0.029632702623411226,0.03145980496947401,0.03387322861731007,0.016558485305938085,0.019690532965297304
1540.0,0.031459804969474,0.03411871039713506,0.029388041190721914,0.029606099279785664,0.03145980496947399,0.034118710397135064,0.016558485305938085,0.01999904093901903
1545.0,0.03145980496947399,0.03437476363936779,0.029388041190721914,0.029581841836274454,0.031459804969473995,0.0343747636393678,0.01655848530593809,0.02032188300180387
1550.0,0.031459804969474,0.03464122199949875,0.029388041190721928,0.029559725795526466,0.031459804969474,0.034641221999498754,0.01655848530593809,0.02065887350950114
1555.0,0.031459804969473995,0.034917752511680465,0.029388041190721918,0.029539550349550817,0.031459804969474,0.03491775251168048,0.016558485305938092,0.021009623601181564
1560.0,0.031459804969474,0.0352038463366411,0.029388041190721918,0.029521118414137182,0.031459804969473995,0.035203846336641115,0.01655848530593809,0.021373530298553198
1565.0,0.031459804969474,0.0354988133811784,0.029388041190721918,0.02950423650166703,0.031459804969473995,0.035498813381178405,0.01655848530593809,0.02174977045511181
1570.0,0.031459804969474,0.03580178144291957,0.029388041190721918,0.029488714480551084,0.03145980496947401,0.03580178144291958,0.016558485305938092,0.022137300390190347
1575.0,0.031459804969474,0.03611170038890623,0.029388041190721925,0.029474365263085393,0.03145980496947401,0.036111700388906244,0.016558485305938085,0.022534861858709152
1580.0,0.03145980496947399,0.036427351670614644,0.029388041190721928,0.029461004456134903,0.03145980496947401,0.03642735167061466,0.016558485305938092,0.022940994746335507
1585.0,0.03145980496947399,0.03674736322030651,0.029388041190721914,0.02944845000105697,0.031459804969474,0.03674736322030652,0.01655848530593809,0.023354056553348115
1590.0,0.031459804969474,0.03707022948049877,0.029388041190721925,0.02943652182106222,0.03145980496947401,0.037070229480498776,0.016558485305938092,0.023772248359374675
1595.0,0.031459804969474016,0.03739433601257204,0.02938804119072191,0.02942504148623344,0.03145980496947399,0.03739433601257205,0.01655848530593809,0.024193646573919616
